line_no,stem,stem_type,root_guess,variant_no,weak_only,attestation_texts,language_period,present_class,root,book,hymn,stanza,pada_id,pada_label,word,word_position_no,word_position,word_gloss,text_padapatha,text_samhitapatha,meter_scansion,stanza_meter,stanza_strata,stanza_late_addition,hymn_absolute_no,hymn_addressee,hymn_group,meter_scansion_custom,meter_has_restorations,meter_caesura_position,meter_syllables_count,meter_syllables,meter_notes,meter_scansions_match,meter_is_correct,meter_faults,meter_fault_positions,text_samhitapatha_normalized,meter_stem_found,meter_stem_positions,meter_stem_fault_positions,meter_stem_vowel_position,meter_stem_root_vowel_position,meter_stem_fault_position_labels,meter_stem_vowel_position_scansion_expected,meter_stem_root_vowel_position_scansion_expected
10.143.01.d,kr̥ṇu,weak,kr̥,,False,,Earlier,fifth,kr̥,10,10.143,10.143.01,d,M,kr̥ṇutháḥ,3,verse final,2.DU.PRS.IND.ACT,rátham ná+_ kr̥ṇutháḥ návam,ráthaṁ ná kr̥ṇuthó návam,SL S SSL SL,Aṇuṣṭubh,A,,969,Asvins,Hymns of Manyu,SL S S|SL SL,False,-1,8,"['rá', 'thaṁ', 'ná', 'kr̥', 'ṇu', 'thó', 'ná', 'vam']",,True,1,,[],ráthaṁ ná kr̥ṇuthó návam,kr̥ṇu,"[4, 5]",[],5,4,,S,X
10.165.03.b,kr̥ṇu,weak,kr̥,,False,,Earlier,fifth,kr̥,10,10.165,10.165.03,b,P,kr̥ṇute,3,verse final,3.SG.PRS.IND.MED,āṣṭryā́m padám= kr̥ṇute-_ agnidhā́ne?_,āṣṭryā́m padáṁ kr̥ṇute agnidhā́ne,LL SL SSL LSLL,Triṣṭubh,P,['Arnold (C2)'],991,Against the Bird of Ill Omen,Hymns of Manyu,"LL SL ,SSL |LSLL",False,4,11,"['āṣ', 'ṭryā́m', 'pa', 'dáṁ', 'kr̥', 'ṇu', 'te', 'ag', 'ni', 'dhā́', 'ne']",,True,1,,[],āṣṭryā́m padáṁ kr̥ṇute agnidhā́ne,kr̥ṇu,"[5, 6]",[],6,5,,S,X
07.018.05.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,7,7.018,07.018.05,b,M,akr̥ṇot,3,verse final,3.SG.IPRF.IND.ACT,índraḥ gādhā́ni= akr̥ṇot} supārā́,índro gādhā́ni akr̥ṇot supārā́,LL LLS SSL SLL,Triṣṭubh,C,,534,Indra,Hymns to Indra,"LL LLS ,SS|L SLL",False,5,11,"['ín', 'dro', 'gā', 'dhā́', 'ni', 'a', 'kr̥', 'ṇot', 'su', 'pā', 'rā́']",,True,1,,[],índro gādhā́ni akr̥ṇot supārā́,kr̥ṇo,"[7, 8]",[],8,7,,L,S
07.018.05.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,7,7.018,07.018.05,d,M,akr̥ṇot,3,verse final,3.SG.IPRF.IND.ACT,śā́pam síndhūnām= akr̥ṇot} áśastīḥ,śā́paṁ síndhūnām akr̥ṇod áśastīḥ,LL LLL SSL SLL,Triṣṭubh,C,,534,Indra,Hymns to Indra,"LL LLL,_SS|L_SLL",False,5,11,"['śā́', 'paṁ', 'sín', 'dhū', 'nā', 'm a', 'kr̥', 'ṇo', 'd á', 'śas', 'tīḥ']",caesura_position_inside_syllable=True,True,1,,[],śā́paṁ síndhūnām akr̥ṇod áśastīḥ,kr̥ṇo,"[7, 8]",[],8,7,,L,S
01.013.12.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.013,01.013.12,a,MO,kr̥ṇotana,3,,2.PL.PRS.IMP.ACT,svā́hā yajñám kr̥ṇotana,svā́hā yajñáṁ kr̥ṇotana,LL LL SLSS,Gāyatrī,C,,13,Apri Hymn,Hymns of Medhatithi,LL LL |SLSS,False,-1,8,"['svā́', 'hā', 'yaj', 'ñáṁ', 'kr̥', 'ṇo', 'ta', 'na']",,True,1,,[],svā́hā yajñáṁ kr̥ṇotana,kr̥ṇo,"[5, 6]",[],6,5,,L,S
01.018.08.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.018,01.018.08,b,MO,kr̥ṇoti,2,verse final,3.SG.PRS.IND.ACT,prā́ñcam kr̥ṇoti adhvarám,prā́ñcaṁ kr̥ṇoti adhvarám,LL SLS LSL,Gāyatrī,N,,18,Brahmanaspati and Sadasaspati,Hymns of Medhatithi,LL SL|S LSL,False,-1,8,"['prā́ñ', 'caṁ', 'kr̥', 'ṇo', 'ti', 'adh', 'va', 'rám']",,True,1,,[],prā́ñcaṁ kr̥ṇoti adhvarám,kr̥ṇo,"[3, 4]",[],4,3,,X,X
01.031.07.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.031,01.031.07,d,M,kr̥ṇóṣi,2,intermediate,2.SG.PRS.IND.ACT,máyaḥ kr̥ṇóṣi= práyaḥ ā́} ca sūráye?_,máyaḥ kr̥ṇóṣi práya ā́ ca sūráye,SL SLL SS L S LSL,Jagatī,C,,31,Agni,Hymns of Medhatithi,"SL SL,_LSS |L S LSL",False,4,12,"['má', 'yaḥ', 'kr̥', 'ṇó', 'ṣi p', 'rá', 'ya', 'ā́', 'ca', 'sū', 'rá', 'ye']",caesura_position_inside_syllable=True,True,1,,[],máyaḥ kr̥ṇóṣi práya ā́ ca sūráye,kr̥ṇo,"[3, 4]",[],4,3,,X,X
01.048.08.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.048,01.048.08,b,M,kr̥ṇoti,2,verse final,3.SG.PRS.IND.ACT,jyótiḥ kr̥ṇoti sūnárī?_,jyótiṣ kr̥ṇoti sūnárī,LL SLS LSL,,S,,48,Usas,Hymns of Praskanva,LL SLS LSL,False,-1,8,"['jyó', 'tiṣ', 'kr̥', 'ṇo', 'ti', 'sū', 'ná', 'rī']",,True,-1,,[],jyótiṣ kr̥ṇoti sūnárī,kr̥ṇo,"[3, 4]",[],4,3,,,
01.055.05.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.055,01.055.05,b,M,kr̥ṇóti,1,intermediate,3.SG.PRS.IND.ACT,kr̥ṇóti yudhmáḥ= ójasā} jánebhyaḥ,kr̥ṇóti yudhmá ójasā jánebhiyaḥ,SLS LS LSL SLSL,Jagatī,S,,55,Indra,Hymns of Savya,"SLS LS ,LS|L SLSL",False,5,12,"['kr̥', 'ṇó', 'ti', 'yudh', 'má', 'ó', 'ja', 'sā', 'já', 'ne', 'bhi', 'yaḥ']",,True,1,,[],kr̥ṇóti yudhmá ójasā jánebhiyaḥ,kr̥ṇo,"[1, 2]",[],2,1,,X,X
01.074.04.c,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.074,01.074.04,c,M,kr̥ṇóṣi,2,verse final,2.SG.PRS.IND.ACT,dasmát kr̥ṇóṣi adhvarám,dasmát kr̥ṇóṣi adhvarám,LL SLS LSL,Gāyatrī,S,,74,Agni,"Hymns of Gotama, the Son of Rahugana",LL SL|S LSL,False,-1,8,"['das', 'mát', 'kr̥', 'ṇó', 'ṣi', 'adh', 'va', 'rám']",,True,1,,[],dasmát kr̥ṇóṣi adhvarám,kr̥ṇo,"[3, 4]",[],4,3,,X,X
01.077.01.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.077,01.077.01,d,M,kr̥ṇóti,4,verse final,3.SG.PRS.IND.ACT,hótā yájiṣṭhaḥ= ít kr̥ṇóti devā́n,hótā yájiṣṭha ít kr̥ṇóti devā́n,LL SLS L SLS LL,Triṣṭubh,a,,77,Agni,"Hymns of Gotama, the Son of Rahugana","LL SLS ,L S|LS LL",False,5,11,"['hó', 'tā', 'yá', 'jiṣ', 'ṭha', 'ít', 'kr̥', 'ṇó', 'ti', 'de', 'vā́n']",,True,1,,[],hótā yájiṣṭha ít kr̥ṇóti devā́n,kr̥ṇo,"[7, 8]",[],8,7,,L,S
01.084.03.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.084,01.084.03,d,M,kr̥ṇotu,2,verse final,3.SG.PRS.IMP.ACT,grā́vā kr̥ṇotu vagnúnā,grā́vā kr̥ṇotu vagnúnā,LL SLS LSL,Aṇuṣṭubh,n,,84,Indra,"Hymns of Gotama, the Son of Rahugana",LL SL|S LSL,False,-1,8,"['grā́', 'vā', 'kr̥', 'ṇo', 'tu', 'vag', 'nú', 'nā']",,True,1,,[],grā́vā kr̥ṇotu vagnúnā,kr̥ṇo,"[3, 4]",[],4,3,,X,X
01.092.06.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.092,01.092.06,b,M,kr̥ṇoti,4,,3.SG.PRS.IND.ACT,uṣā́ḥ ucchántī-_= vayúnā} kr̥ṇoti,uṣā́ uchántī vayúnā kr̥ṇoti,SL LLL SSL SLS,Triṣṭubh,n,,92,Usas and the Asvins,"Hymns of Gotama, the Son of Rahugana","SL LLL ,SS|L SLS",False,5,11,"['u', 'ṣā́', 'uc', 'chán', 'tī', 'va', 'yú', 'nā', 'kr̥', 'ṇo', 'ti']",,True,1,,[],uṣā́ ucchántī vayúnā kr̥ṇoti,kr̥ṇo,"[9, 10]",[],10,9,,L,S
01.102.09.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.102,01.102.09,d,M,kr̥ṇotu,2,intermediate,3.SG.PRS.IMP.ACT,índraḥ kr̥ṇotu= prasavé-_} rátham puráḥ,índraḥ kr̥ṇotu prasavé rátham puráḥ,LL SLL SSL SL SL,Jagatī,C,,102,Indra,"Hymns of Kutsa, the Angiras","LL SL,_LSS|L SL SL",False,4,12,"['ín', 'draḥ', 'kr̥', 'ṇo', 'tu p', 'ra', 'sa', 'vé', 'rá', 'tham', 'pu', 'ráḥ']",caesura_position_inside_syllable=True,True,1,,[],índraḥ kr̥ṇotu prasavé rátham puráḥ,kr̥ṇo,"[3, 4]",[],4,3,,X,X
01.105.15.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.105,01.105.15,a,M,kr̥ṇoti,2,verse final,3.SG.PRS.IND.ACT,bráhmā+ kr̥ṇoti váruṇaḥ,bráhmā kr̥ṇoti váruṇo,LL SLS SSL,,C,,105,All the Gods (Trita in the Well),"Hymns of Kutsa, the Angiras",LL SLS SSL,False,-1,8,"['bráh', 'mā', 'kr̥', 'ṇo', 'ti', 'vá', 'ru', 'ṇo']",,True,-1,,[],bráhmā kr̥ṇoti váruṇo,kr̥ṇo,"[3, 4]",[],4,3,,,
01.110.08.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.11,01.110.08,d,M,akr̥ṇotana,4,,2.PL.IPRF.IND.ACT,jívrī+_ yúvānā= pitárā akr̥ṇotana,jívrī yúvānā pitárākr̥ṇotana,LL SLL SSLSLSS,Jagatī,C,,110,The Ribhus,"Hymns of Kutsa, the Angiras","LL SLL ,SS|LSLSS",False,5,12,"['jív', 'rī', 'yú', 'vā', 'nā', 'pi', 'tá', 'rā', 'kr̥', 'ṇo', 'ta', 'na']",,True,1,,[],jívrī yúvānā pitárākr̥ṇotana,kr̥ṇo,"[9, 10]",[],10,9,,L,S
01.116.12.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.116,01.116.12,b,M,kr̥ṇomi,2,intermediate,1.SG.PRS.IND.ACT,āvíḥ kr̥ṇomi= tanyatúḥ} ná+_ vr̥ṣṭím,āvíṣ kr̥ṇomi tanyatúr ná vr̥ṣṭím,LL SLS LSL S LL,Triṣṭubh,N,,116,Asvins,"Hymns of Kaksivat, the Son of Dirghatamas and Usij","LL SLS ,LS|L S LL",False,5,11,"['ā', 'víṣ', 'kr̥', 'ṇo', 'mi', 'tan', 'ya', 'túr', 'ná', 'vr̥ṣ', 'ṭím']",,True,1,,[],āvíṣ kr̥ṇomi tanyatúr ná vr̥ṣṭím,kr̥ṇo,"[3, 4]",[],4,3,,X,X
01.161.02.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.161,01.161.02,a,P,kr̥ṇotana,4,,2.PL.PRS.IMP.ACT,ékam camasám= catúraḥ} kr̥ṇotana,ékaṁ camasáṁ catúraḥ kr̥ṇotana,LL SSL SSL SLSS,Jagatī,P,['Arnold (C1)'],161,The Ribhus,"Hymns of Dirghatamas, Son of Ucathya and Mamata","LL SSL ,SS|L SLSS",False,5,12,"['é', 'kaṁ', 'ca', 'ma', 'sáṁ', 'ca', 'tú', 'raḥ', 'kr̥', 'ṇo', 'ta', 'na']",,True,1,,[],ékaṁ camasáṁ catúraḥ kr̥ṇotana,kr̥ṇo,"[9, 10]",[],10,9,,L,S
01.161.07.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.161,01.161.07,b,P,akr̥ṇotana,5,,2.PL.IPRF.IND.ACT,yā́ járantā= yuvaśā́ tā́ akr̥ṇotana,yā́ járantā yuvaśā́ tā́kr̥ṇotana,L SLL SSL LSLSS,Jagatī,P,['Arnold (C1)'],161,The Ribhus,"Hymns of Dirghatamas, Son of Ucathya and Mamata","L SLL ,SSL |LSLSS",False,4,12,"['yā́', 'já', 'ran', 'tā', 'yu', 'va', 'śā́', 'tā́', 'kr̥', 'ṇo', 'ta', 'na']",,True,1,,[],yā́ járantā yuvaśā́ tā́kr̥ṇotana,kr̥ṇo,"[9, 10]",[],10,9,,L,S
01.161.11.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.161,01.161.11,a,P,akr̥ṇotana,3,verse final,2.PL.IPRF.IND.ACT,udvátsu asmai= akr̥ṇotanā+ tŕ̥ṇam,udvátsu asmā akr̥ṇotanā tŕ̥ṇaṁ,LLS LL SSLSL SL,Jagatī,P,['Arnold (C1)'],161,The Ribhus,"Hymns of Dirghatamas, Son of Ucathya and Mamata","LLS LL ,SS|LSL SL",False,5,12,"['ud', 'vát', 'su', 'as', 'mā', 'a', 'kr̥', 'ṇo', 'ta', 'nā', 'tŕ̥', 'ṇaṁ']",,True,1,,[],udvátsu asmā akr̥ṇotanā tŕ̥ṇaṁ,kr̥ṇo,"[7, 8]",[],8,7,,L,S
01.162.18.c,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.162,01.162.18,c,P,kr̥ṇota,4,,2.PL.PRS.IMP.ACT,ácchidrā gā́trā= vayúnā} kr̥ṇota,áchidrā gā́trā vayúnā kr̥ṇota,LLL LL SSL SLS,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (o)', 'Arnold (C1)', 'Wuest (w)', 'Witzel (z)']",162,Sacrificial Horse,"Hymns of Dirghatamas, Son of Ucathya and Mamata","LLL LL ,SS|L SLS",False,5,11,"['ác', 'chid', 'rā', 'gā́t', 'rā', 'va', 'yú', 'nā', 'kr̥', 'ṇo', 'ta']",,True,1,,[],ácchidrā gā́trā vayúnā kr̥ṇota,kr̥ṇo,"[9, 10]",[],10,9,,L,S
01.162.19.c,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.162,01.162.19,c,P,kr̥ṇómi,5,,1.SG.PRS.IND.ACT,yā́ te-_ gā́trāṇām= r̥tuthā́} kr̥ṇómi,yā́ te gā́trāṇām r̥tuthā́ kr̥ṇómi,L L LLL SSL SLS,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (o)', 'Arnold (C1)', 'Wuest (w)', 'Witzel (z)']",162,Sacrificial Horse,"Hymns of Dirghatamas, Son of Ucathya and Mamata","L L LLL,_SS|L SLS",False,5,11,"['yā́', 'te', 'gā́t', 'rā', 'ṇā', 'm r̥', 'tu', 'thā́', 'kr̥', 'ṇó', 'mi']",caesura_position_inside_syllable=True,True,1,,[],yā́ te gā́trāṇām r̥tuthā́ kr̥ṇómi,kr̥ṇo,"[9, 10]",[],10,9,,L,S
01.162.22.c,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.162,01.162.22,c,Ph,kr̥ṇotu,4,,3.SG.PRS.IMP.ACT,anāgāstvám naḥ= áditiḥ} kr̥ṇotu,anāgāstváṁ no áditiḥ kr̥ṇotu,SLLL L SSL SLS,,P,"['Grassmann (G)', 'Oldenberg (o)', 'Arnold (C1)', 'Wuest (w)', 'Witzel (z)']",162,Sacrificial Horse,"Hymns of Dirghatamas, Son of Ucathya and Mamata",SLLL L SSL SLS,False,-1,11,"['a', 'nā', 'gās', 'tváṁ', 'no', 'á', 'di', 'tiḥ', 'kr̥', 'ṇo', 'tu']",,True,-1,,[],anāgāstváṁ no áditiḥ kr̥ṇotu,kr̥ṇo,"[9, 10]",[],10,9,,,
01.164.28.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.164,01.164.28,b,P,akr̥ṇot,3,intermediate,3.SG.IPRF.IND.ACT,mūrdhā́nam híṅ= akr̥ṇot mā́tavaí u+_,mūrdhā́naṁ híṅṅ akr̥ṇon mā́tavā́ u,LLL L SSL LSL S,Triṣṭubh,P,"['Grassmann (G)', 'Oldenberg (o)', 'Arnold (C1)', 'Wuest (w)', 'Witzel (z)']",164,All the Gods (Riddle Song),"Hymns of Dirghatamas, Son of Ucathya and Mamata","LLL L,_SSL |LSL S",False,4,11,"['mūr', 'dhā́', 'naṁ', 'híṅ', 'ṅ a', 'kr̥', 'ṇon', 'mā́', 'ta', 'vā́', 'u']",caesura_position_inside_syllable=True,True,1,,[],mūrdhā́naṁ híṅṅ akr̥ṇon mā́tavā́ u,kr̥ṇo,"[6, 7]",[],7,6,,X,S
01.173.11.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,1,1.173,01.173.11,d,M,kr̥ṇoti,5,verse final,3.SG.PRS.IND.ACT,dīrgháḥ ná+_ sidhrám= ā́ kr̥ṇoti ádhvā,dīrghó ná sidhrám ā́ kr̥ṇoti ádhvā,LL S LS L SLS LL,Triṣṭubh,A,,173,Indra,Hymns of Agastya,"LL S LS,_L S|LS LL",False,5,11,"['dīr', 'ghó', 'ná', 'sidh', 'rá', 'm ā́', 'kr̥', 'ṇo', 'ti', 'ádh', 'vā']",caesura_position_inside_syllable=True,True,1,,[],dīrghó ná sidhrám ā́ kr̥ṇoti ádhvā,kr̥ṇo,"[7, 8]",[],8,7,,L,S
02.013.02.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.013,02.013.02,d,M,ákr̥ṇoḥ,3,intermediate,2.SG.IPRF.IND.ACT,yáḥ tā́ ákr̥ṇoḥ= prathamám sá asi ukthya\ḥ,yás tā́kr̥ṇoḥ prathamáṁ sā́si ukthíyaḥ,L LSL SSL LS LSL,Jagatī,C,,204,Indra,Hymns to Indra,"L LSL ,SSL |LS LSL",False,4,12,"['yás', 'tā́', 'kr̥', 'ṇoḥ', 'pra', 'tha', 'máṁ', 'sā́', 'si', 'uk', 'thí', 'yaḥ']",,True,1,,[],yás tā́kr̥ṇoḥ prathamáṁ sā́si ukthíyaḥ,kr̥ṇo,"[3, 4]",[],4,3,,X,X
02.013.03.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.013,02.013.03,d,M,ákr̥ṇoḥ,3,intermediate,2.SG.IPRF.IND.ACT,yáḥ tā́ ákr̥ṇoḥ= prathamám sá asi ukthya\ḥ,yás tā́kr̥ṇoḥ prathamáṁ sā́si ukthíyaḥ,L LSL SSL LS LSL,Jagatī,C,,204,Indra,Hymns to Indra,"L LSL ,SSL |LS LSL",False,4,12,"['yás', 'tā́', 'kr̥', 'ṇoḥ', 'pra', 'tha', 'máṁ', 'sā́', 'si', 'uk', 'thí', 'yaḥ']",,True,1,,[],yás tā́kr̥ṇoḥ prathamáṁ sā́si ukthíyaḥ,kr̥ṇo,"[3, 4]",[],4,3,,X,X
02.013.04.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.013,02.013.04,d,M,ákr̥ṇoḥ,3,intermediate,2.SG.IPRF.IND.ACT,yáḥ tā́ ákr̥ṇoḥ= prathamám sá asi ukthya\ḥ,yás tā́kr̥ṇoḥ prathamáṁ sā́si ukthíyaḥ,L LSL SSL LS LSL,Jagatī,C,,204,Indra,Hymns to Indra,"L LSL ,SSL |LS LSL",False,4,12,"['yás', 'tā́', 'kr̥', 'ṇoḥ', 'pra', 'tha', 'máṁ', 'sā́', 'si', 'uk', 'thí', 'yaḥ']",,True,1,,[],yás tā́kr̥ṇoḥ prathamáṁ sā́si ukthíyaḥ,kr̥ṇo,"[3, 4]",[],4,3,,X,X
02.013.05.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.013,02.013.05,a,M,akr̥ṇoḥ,2,intermediate,2.SG.IPRF.IND.ACT,ádha akr̥ṇoḥ= pr̥thivī́m saṁdŕ̥śe?_ divé-_,ádhākr̥ṇoḥ pr̥thivī́ṁ saṁdŕ̥śe divé,SLSL SSL LSL SL,Jagatī,C,,204,Indra,Hymns to Indra,"SLSL ,SSL |LSL SL",False,4,12,"['á', 'dhā', 'kr̥', 'ṇoḥ', 'pr̥', 'thi', 'vī́ṁ', 'saṁ', 'dŕ̥', 'śe', 'di', 'vé']",,True,1,,[],ádhākr̥ṇoḥ pr̥thivī́ṁ saṁdŕ̥śe divé,kr̥ṇo,"[3, 4]",[],4,3,,X,X
02.017.03.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.017,02.017.03,a,M,akr̥ṇoḥ,2,intermediate,2.SG.IPRF.IND.ACT,ádha akr̥ṇoḥ= prathamám vīrya\m mahát,ádhākr̥ṇoḥ prathamáṁ vīríyam mahád,SLSL SSL LSL SL,Jagatī,N,,208,Indra,Hymns to Indra,"SLSL ,SSL |LSL SL",False,4,12,"['á', 'dhā', 'kr̥', 'ṇoḥ', 'pra', 'tha', 'máṁ', 'vī', 'rí', 'yam', 'ma', 'hád']",,True,1,,[],ádhākr̥ṇoḥ prathamáṁ vīríyam mahád,kr̥ṇo,"[3, 4]",[],4,3,,X,X
02.017.05.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.017,02.017.05,b,M,akr̥ṇot,2,intermediate,3.SG.IPRF.IND.ACT,adharācī́nam= akr̥ṇot} apā́m ápaḥ,adharācī́nam akr̥ṇod apā́m ápaḥ,SSLLS SSL SL SL,Jagatī,N,,208,Indra,Hymns to Indra,"SSLLS,_SS|L_SL_SL",False,5,12,"['a', 'dha', 'rā', 'cī́', 'na', 'm a', 'kr̥', 'ṇo', 'd a', 'pā́', 'm á', 'paḥ']",caesura_position_inside_syllable=True,True,1,,[],adharācī́nam akr̥ṇod apā́m ápaḥ,kr̥ṇo,"[7, 8]",[],8,7,,L,S
02.017.06.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,2,2.017,02.017.06,a,M,ákr̥ṇot,7,,3.SG.IPRF.IND.ACT,sá asmai áram= bāhúbhyām yám} pitā́ ákr̥ṇot,sā́smā áram bāhúbhyāṁ yám pitā́kr̥ṇod,LL SL LLL L SLSL,,N,,208,Indra,Hymns to Indra,LL SL LLL L SLSL,False,-1,12,"['sā́s', 'mā', 'á', 'ram', 'bā', 'húbh', 'yāṁ', 'yám', 'pi', 'tā́', 'kr̥', 'ṇod']",,True,-1,,[],sā́smā áram bāhúbhyāṁ yám pitā́kr̥ṇod,kr̥ṇo,"[11, 12]",[],12,11,,,
03.029.09.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,3,3.029,03.029.09,a,D,kr̥ṇóta,1,intermediate,2.PL.PRS.IMP.ACT,kr̥ṇóta dhūmám= vŕ̥ṣaṇam} sakhāyaḥ,kr̥ṇóta dhūmáṁ vŕ̥ṣaṇaṁ sakhāyo,SLS LL SSL SLL,Triṣṭubh,p,"['Grassmann (G)', 'Oldenberg (O)', 'Wuest (W)', 'Witzel (Z)']",263,Agni,Hymns to Agni,"SLS LL ,SS|L SLL",False,5,11,"['kr̥', 'ṇó', 'ta', 'dhū', 'máṁ', 'vŕ̥', 'ṣa', 'ṇaṁ', 'sa', 'khā', 'yo']",,True,1,,[],kr̥ṇóta dhūmáṁ vŕ̥ṣaṇaṁ sakhāyo,kr̥ṇo,"[1, 2]",[],2,1,,X,X
03.030.10.c,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,3,3.03,03.030.10,c,M,akr̥ṇot,3,intermediate,3.SG.IPRF.IND.ACT,sugā́n patháḥ= akr̥ṇot niráje?_ gā́ḥ,sugā́n pathó akr̥ṇon niráje gā́ḥ,SL SL SSL SSL L,Triṣṭubh,N,,264,Indra,Hymns to Indra,"SL SL ,SSL |SSL L",False,4,11,"['su', 'gā́n', 'pa', 'thó', 'a', 'kr̥', 'ṇon', 'ni', 'rá', 'je', 'gā́ḥ']",,True,0,scansion_cadence=SSLX,[8],sugā́n pathó akr̥ṇon niráje gā́ḥ,kr̥ṇo,"[6, 7]",[],7,6,,X,S
03.031.19.b,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,3,3.031,03.031.19,b,M,kr̥ṇomi,2,intermediate,1.SG.PRS.IND.ACT,návyam kr̥ṇomi= sányase?_} purājā́m,návyaṁ kr̥ṇomi sányase purājā́m,LL SLS LSL SLL,Triṣṭubh,N,['Grassmann (G)'],265,Indra,Hymns to Indra,"LL SLS ,LS|L SLL",False,5,11,"['náv', 'yaṁ', 'kr̥', 'ṇo', 'mi', 'sán', 'ya', 'se', 'pu', 'rā', 'jā́m']",,True,1,,[],návyaṁ kr̥ṇomi sányase purājā́m,kr̥ṇo,"[3, 4]",[],4,3,,X,X
03.034.03.d,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,3,3.034,03.034.03,d,M,akr̥ṇot,3,verse final,3.SG.IPRF.IND.ACT,āvíḥ dhénāḥ= akr̥ṇot rāmyā́ṇām,āvír dhénā akr̥ṇod rāmiyā́ṇām,LL LL SSL LSLL,Triṣṭubh,c,,268,Indra,Hymns to Indra,"LL LL ,SSL |LSLL",False,4,11,"['ā', 'vír', 'dhé', 'nā', 'a', 'kr̥', 'ṇod', 'rā', 'mi', 'yā́', 'ṇām']",,True,1,,[],āvír dhénā akr̥ṇod rāmiyā́ṇām,kr̥ṇo,"[6, 7]",[],7,6,,X,S
04.015.10.c,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,4,4.015,04.015.10,c,M,kr̥ṇotana,2,,2.PL.PRS.IMP.ACT,dīrghā́yuṣam kr̥ṇotana,dīrghā́yuṣaṁ kr̥ṇotana,LLSL SLSS,Gāyatrī,S,"['Grassmann (G)', 'Oldenberg (O)', 'Wuest (W)']",311,Agni,Hymns to Agni,LLSL |SLSS,False,-1,8,"['dīr', 'ghā́', 'yu', 'ṣaṁ', 'kr̥', 'ṇo', 'ta', 'na']",,True,1,,[],dīrghā́yuṣaṁ kr̥ṇotana,kr̥ṇo,"[5, 6]",[],6,5,,L,S
04.017.13.a,kr̥ṇo,strong,kr̥,,False,,Earlier,fifth,kr̥,4,4.017,04.017.13,a,M,kr̥ṇoti,4,,3.SG.PRS.IND.ACT,kṣiyántam tvam= ákṣiyantam} kr̥ṇoti,kṣiyántaṁ tvam ákṣiyantaṁ kr̥ṇoti,SLL S LSLL SLS,Triṣṭubh,S,,313,Indra,Hymns to Indra,"SLL S,_LSL|L SLS",False,4,11,"['kṣi', 'yán', 'taṁ', 'tva', 'm ák', 'ṣi', 'yan', 'taṁ', 'kr̥', 'ṇo', 'ti']",caesura_position_inside_syllable=True,True,1,,[],kṣiyántaṁ tvam ákṣiyantaṁ kr̥ṇoti,kr̥ṇo,"[9, 10]",[],10,9,,L,S
