01.001.01a | agním īḷe puróhitaṁ

08.008.04a | ā́ no yātaṁ divás pári
08.008.04b | ā́ntárikṣād adhapriyā
08.008.04c | putráḥ káṇvasya vām ihá
08.008.04d | suṣā́va somiyám mádhu

08.008.05a | ā́ no yātam úpaśruti
08.008.05b | áśvinā sómapītaye
08.008.05c | svā́hā stómasya vardhanā
08.008.05d | prá kavī dhītíbhir narā

08.008.06a | yác cid dhí vām purá ŕ̥ṣayo
08.008.06b | juhūré ávase narā
08.008.06c | ā́ yātam aśvinā́ gatam
08.008.06d | úpemā́ṁ suṣṭutím máma

08.008.07a | diváś cid rocanā́d ádhi
08.008.07b | ā́ no gantaṁ suvarvidā
08.008.07c | dhībhír vatsapracetasā
08.008.07d | stómebhir havanaśrutā

08.008.08a | kím anyé pári āsate
08.008.08b | asmát stómebhir aśvínā
08.008.08c | putráḥ káṇvasya vām ŕ̥ṣir
08.008.08d | gīrbhír vatsó avīvr̥dhat

08.008.09a | ā́ vāṁ vípra ihā́vase
08.008.09b | áhvat stómebhir aśvinā
08.008.09c | áriprā vŕ̥trahantamā
08.008.09d | tā́ no bhūtam mayobhúvā

08.008.10a | ā́ yád vāṁ yóṣaṇā rátham
08.008.10b | átiṣṭhad vājinīvasū
08.008.10c | víśvāni aśvinā yuvám
08.008.10d | prá dhītā́ni agachatam

08.008.11a | átaḥ sahásranirṇijā
08.008.11b | ráthenā́ yātam aśvinā
08.008.11c | vatsó vām mádhumad váco
08.008.11d | áśaṁsīt kāviyáḥ kavíḥ

08.008.12a | purumandrā́ purūvásū
08.008.12b | manotárā rayīṇáam
08.008.12c | stómam me aśvínāv imám
08.008.12d | abhí váhnī anūṣātām

08.008.13a | ā́ no víśvāni aśvinā
08.008.13b | dhattáṁ rā́dhāṁsi áhrayā
08.008.13c | kr̥táṁ na r̥tvíyāvato
08.008.13d | mā́ no rīradhataṁ nidé

08.008.14a | yán nāsatyā parāváti
08.008.14b | yád vā sthó ádhi ámbare
08.008.14c | átaḥ sahásranirṇijā
08.008.14d | ráthenā́ yātam aśvinā

08.008.15a | yó vāṁ nāsatiyāv ŕ̥ṣir
08.008.15b | gīrbhír vatsó ávīvr̥dhat
08.008.15c | tásmai sahásranirṇijam
08.008.15d | íṣaṁ dhattaṁ ghr̥taścútam

08.008.16a | prā́smā ū́rjaṁ ghr̥taścútam
08.008.16b | áśvinā yáchataṁ yuvám
08.008.16c | yó vāṁ sumnā́ya tuṣṭávad
08.008.16d | vasūyā́d dānunas patī

08.008.17a | ā́ no gantaṁ riśādasā
08.008.17b | imáṁ stómam purubhujā
08.008.17c | kr̥táṁ naḥ suśríyo narā
08.008.17d | imā́ dātam abhíṣṭaye

08.008.18a | ā́ vāṁ víśvābhir ūtíbhiḥ
08.008.18b | priyámedhā ahūṣata
08.008.18c | rā́jantāv adhvarā́ṇaam
08.008.18d | áśvinā yā́mahūtiṣu

08.008.19a | ā́ no gantam mayobhúvā
08.008.19b | áśvinā śambhúvā yuvám
08.008.19c | yó vāṁ vipanyū dhītíbhir
08.008.19d | gīrbhír vatsó ávīvr̥dhat

08.008.20a | yā́bhiḥ káṇvam médhātithiṁ
08.008.20b | yā́bhir váśaṁ dáśavrajam
08.008.20c | yā́bhir góśaryam ā́vataṁ
08.008.20d | tā́bhir no avataṁ narā

08.008.21a | yā́bhir narā trasádasyum
08.008.21b | ā́vataṁ kŕ̥tviye dháne
08.008.21c | tā́bhiḥ ṣú asmā́m̐ aśvinā
08.008.21d | prā́vataṁ vā́jasātaye

08.008.22a | prá vāṁ stómāḥ suvr̥ktáyo
08.008.22b | gíro vardhantu aśvinā
08.008.22c | púrutrā vŕ̥trahantamā
08.008.22d | tā́ no bhūtam puruspŕ̥hā

08.008.23a | trī́ṇi padā́ni aśvínor
08.008.23b | āvíḥ sā́nti gúhā paráḥ
08.008.23c | kavī́ r̥tásya pátmabhir
08.008.23d | arvā́g jīvébhiyas pári

08.009.01a | ā́ nūnám aśvinā yuváṁ
08.009.01b | vatsásya gantam ávase
08.009.01c | prā́smai yachatam avr̥kám pr̥thú chardír
08.009.01d | yuyutáṁ yā́ árātayaḥ

08.009.02a | yád antárikṣe yád diví
08.009.02b | yát páñca mā́nuṣām̐ ánu
08.009.02c | nr̥mṇáṁ tád dhattam aśvinā

08.009.03a | yé vāṁ dáṁsāṁsi aśvinā
08.009.03b | víprāsaḥ parimāmr̥śúḥ
08.009.03c | evét kāṇvásya bodhatam

08.009.04a | ayáṁ vāṁ gharmó aśvinā
08.009.04b | stómena pári ṣicyate
08.009.04c | ayáṁ sómo mádhumān vājinīvasū
08.009.04d | yéna vr̥tráṁ cíketathaḥ

08.009.05a | yád apsú yád vánaspátau
08.009.05b | yád óṣadhīṣu purudaṁsasā kr̥tám
08.009.05c | téna māviṣṭam aśvinā

08.009.06a | yán nāsatyā bhuraṇyátho
08.009.06b | yád vā deva bhiṣajyáthaḥ
08.009.06c | ayáṁ vāṁ vatsó matíbhir ná vindhate
08.009.06d | havíṣmantaṁ hí gáchathaḥ

08.009.07a | ā́ nūnám aśvínor ŕ̥ṣi
08.009.07b | stómaṁ ciketa vāmáyā
08.009.07c | ā́ sómam mádhumattamaṁ
08.009.07d | gharmáṁ siñcād átharvaṇi

08.009.08a | ā́ nūnáṁ raghúvartaniṁ
08.009.08b | ráthaṁ tiṣṭhātho aśvinā
08.009.08c | ā́ vāṁ stómā imé máma
08.009.08d | nábho ná cucyavīrata

08.009.09a | yád adyá vāṁ nāsatiyā
08.009.09b | ukthaír ācucyuvīmáhi
08.009.09c | yád vā vā́ṇībhir aśvinā
08.009.09d | evét kāṇvásya bodhatam

08.009.10a | yád vāṁ kakṣī́vām̐ utá yád víaśva
08.009.10b | ŕ̥ṣir yád vāṁ dīrghátamā juhā́va
08.009.10c | pŕ̥thī yád vāṁ vainiyáḥ sā́daneṣu
08.009.10d | evéd áto aśvinā cetayethām

08.009.11a | yātáṁ chardiṣpā́ utá naḥ paraspā́
08.009.11b | bhūtáṁ jagatpā́ utá nas tanūpā́
08.009.11c | vartís tokā́ya tánayāya yātam

08.009.12a | yád índreṇa saráthaṁ yāthó aśvinā
08.009.12b | yád vā vāyúnā bhávathaḥ sámokasā
08.009.12c | yád ādityébhir r̥bhúbhiḥ sajóṣasā
08.009.12d | yád vā víṣṇor vikrámaṇeṣu tíṣṭhathaḥ

08.009.13a | yád adyá aśvínāv aháṁ
08.009.13b | huvéya vā́jasātaye
08.009.13c | yát pr̥tsú turváṇe sáhas
08.009.13d | tác chréṣṭham aśvínor ávaḥ

08.009.14a | ā́ nūnáṁ yātam aśvinā
08.009.14b | imā́ havyā́ni vāṁ hitā́
08.009.14c | imé sómāso ádhi turváśe yádāv
08.009.14d | imé káṇveṣu vām átha

08.009.15a | yán nāsatiyā parāké
08.009.15b | arvāké ásti bheṣajám
08.009.15c | téna nūnáṁ vimadā́ya pracetasā
08.009.15d | chardír vatsā́ya yachatam

08.009.16a | ábhutsi u prá deviyā́
08.009.16b | sākáṁ vācā́hám aśvínoḥ
08.009.16c | ví āvar devi ā́ matíṁ
08.009.16d | ví rātím mártiyebhiyaḥ

08.009.17a | prá bodhayoṣo aśvínā
08.009.17b | prá devi sūnr̥te mahi
08.009.17c | prá yajñahotar ānuṣák
08.009.17d | prá mádāya śrávo br̥hát

08.009.18a | yád uṣo yā́si bhānúnā
08.009.18b | sáṁ sū́riyeṇa rocase
08.009.18c | ā́ hāyám aśvíno rátho
08.009.18d | vartír yāti nr̥pā́yiyam

08.009.19a | yád ā́pītāso aṁśávo
08.009.19b | gā́vo ná duhrá ū́dhabhiḥ
08.009.19c | yád vā vā́ṇīr ánūṣata
08.009.19d | prá devayánto aśvínā

08.009.20a | prá dyumnā́ya prá śávase
08.009.20b | prá nr̥ṣā́hyāya śármaṇe
08.009.20c | prá dákṣāya pracetasā

08.009.21a | yán nūnáṁ dhībhír aśvinā
08.009.21b | pitúr yónā niṣī́dathaḥ
08.009.21c | yád vā sumnébhir ukthiyā

08.010.01a | yát sthó dīrgháprasadmani
08.010.01b | yád vādó rocané diváḥ
08.010.01c | yád vā samudré ádhi ā́kr̥te gr̥hé
08.010.01d | áta ā́ yātam aśvinā

08.010.02a | yád vā yajñám mánave sammimikṣáthur
08.010.02b | evét kāṇvásya bodhatam
08.010.02c | bŕ̥haspátiṁ víśvān devā́m̐ aháṁ huva
08.010.02d | índrāvíṣṇū aśvínāv āśuhéṣasā

08.010.03a | tiyā́ nú aśvínā huve
08.010.03b | sudáṁsasā gr̥bhé kr̥tā́
08.010.03c | yáyor ásti prá ṇaḥ sakhyáṁ
08.010.03d | devéṣu ádhi ā́piyam

08.010.04a | yáyor ádhi prá yajñā́
08.010.04b | asūré sánti sūráyaḥ
08.010.04c | tā́ yajñásya adhvarásya prácetasā
08.010.04d | svadhā́bhir yā́ píbataḥ somiyám mádhu

08.010.05a | yád adyá aśvināv ápāg
08.010.05b | yát prā́k sthó vājinīvasū
08.010.05c | yád druhyávi ánavi turváśe yádau
08.010.05d | huvé vām átha mā́ gatam

08.010.06a | yád antárikṣe pátathaḥ purubhujā
08.010.06b | yád vemé ródasī ánu
08.010.06c | yád vā svadhā́bhir adhitíṣṭhatho rátham
08.010.06d | áta ā́ yātam aśvinā

08.011.01a | tvám agne vratapā́ asi
08.011.01b | devá ā́ mártiyeṣu ā́
08.011.01c | tuváṁ yajñéṣu ī́ḍiyaḥ

08.011.02a | tuvám asi praśásiyo
08.011.02b | vidátheṣu sahantiya
08.011.02c | ágne rathī́r adhvarā́ṇām

08.011.03a | sá tvám asmád ápa dvíṣo
08.011.03b | yuyodhí jātavedaḥ
08.011.03c | ádevīr agne árātīḥ

08.011.04a | ánti cit sántam áha
08.011.04b | yajñám mártasya ripóḥ
08.011.04c | nópa veṣi jātavedaḥ

08.011.05a | mártā ámartiyasya te
08.011.05b | bhū́ri nā́ma manāmahe
08.011.05c | víprāso jātávedasaḥ

08.011.06a | vípraṁ víprāso ávase
08.011.06b | devám mártāsa ūtáye
08.011.06c | agníṁ gīrbhír havāmahe

08.011.07a | ā́ te vatsó máno yamat
08.011.07b | paramā́c cit sadhásthaat
08.011.07c | ágne tvā́ṁkāmayā girā́

08.011.08a | purutrā́ hí sadŕ̥ṅṅ ási
08.011.08b | víśo víśvā ánu prabhúḥ
08.011.08c | samátsu tvā havāmahe

08.011.09a | samátsu agním ávase
08.011.09b | vājayánto havāmahe
08.011.09c | vā́jeṣu citrárādhasam

08.011.10a | pratnó hí kam ī́ḍiyo adhvaréṣu
08.011.10b | sanā́c ca hótā náviyaś ca sátsi
08.011.10c | suvā́ṁ cāgne tanúvam pipráyasva
08.011.10d | asmábhyaṁ ca saúbhagam ā́ yajasva

08.012.01a | yá indra somapā́tamo
08.012.01b | mádaḥ śaviṣṭha cétati
08.012.01c | yénā háṁsi ní atríṇaṁ tám īmahe

08.012.02a | yénā dáśagvam ádhriguṁ
08.012.02b | vepáyantaṁ súvarṇaram
08.012.02c | yénā samudrám ā́vithā tám īmahe

08.012.03a | yéna síndhum mahī́r apó
08.012.03b | ráthām̐ iva pracodáyaḥ
08.012.03c | pánthām r̥tásya yā́tave tám īmahe

08.012.04a | imáṁ stómam abhíṣṭaye
08.012.04b | ghr̥táṁ ná pūtám adrivaḥ
08.012.04c | yénā nú sadyá ójasā vavákṣitha

08.012.05a | imáṁ juṣasva girvaṇaḥ
08.012.05b | samudrá iva pinvate
08.012.05c | índra víśvābhir ūtíbhir vavákṣitha

08.012.06a | yó no deváḥ parāvátaḥ
08.012.06b | sakhitvanā́ya māmahé
08.012.06c | divó ná vr̥ṣṭím pratháyan vavákṣitha

08.012.07a | vavakṣúr asya ketávo
08.012.07b | utá vájro gábhastiyoḥ
08.012.07c | yát sū́riyo ná ródasī ávardhayat

08.012.08a | yádi pravr̥ddha satpate
08.012.08b | sahásram mahiṣā́m̐ ághaḥ
08.012.08c | ā́d ít ta indriyám máhi prá vāvr̥dhe

08.012.09a | índraḥ sū́ryasya raśmíbhir
08.012.09b | ní arśasānám oṣati
08.012.09c | agnír váneva sāsahíḥ prá vāvr̥dhe

08.012.10a | iyáṁ ta r̥tvíyāvatī
08.012.10b | dhītír eti návīyasī
08.012.10c | saparyántī purupriyā́ mímīta ít

08.012.11a | gárbho yajñásya devayúḥ
08.012.11b | krátum punīta ānuṣák
08.012.11c | stómair índrasya vāvr̥dhe mímīta ít

08.012.12a | sanír mitrásya papratha
08.012.12b | índraḥ sómasya pītáye
08.012.12c | prā́cī vā́śīva sunvaté mímīta ít

08.012.13a | yáṁ víprā ukthávāhaso
08.012.13b | abhipramandúr āyávaḥ
08.012.13c | ghr̥táṁ ná pipya āsáni r̥tásya yát

08.012.14a | utá svarā́je áditi
08.012.14b | stómam índrāya jījanat
08.012.14c | purupraśastám ūtáya r̥tásya yát

08.012.15a | abhí váhnaya ūtáye
08.012.15b | ánūṣata práśastaye
08.012.15c | ná deva vívratā hárī r̥tásya yát

08.012.16a | yát sómam indra víṣṇavi
08.012.16b | yád vā gha tritá āptiyé
08.012.16c | yád vā marútsu mándase sám índubhiḥ

08.012.17a | yád vā śakra parāváti
08.012.17b | samudré ádhi mándase
08.012.17c | asmā́kam ít suté raṇā sám índubhiḥ

08.012.18a | yád vā́si sunvató vr̥dhó
08.012.18b | yájamānasya satpate
08.012.18c | ukthé vā yásya ráṇyasi sám índubhiḥ

08.012.19a | deváṁ-devaṁ vo ávasa
08.012.19b | índram-indraṁ gr̥ṇīṣáṇi
08.012.19c | ádhā yajñā́ya turváṇe ví ānaśuḥ

08.012.20a | yajñébhir yajñávāhasaṁ
08.012.20b | sómebhiḥ somapā́tamam
08.012.20c | hótrābhir índraṁ vāvr̥dhur ví ānaśuḥ

08.012.21a | mahī́r asya práṇītayaḥ
08.012.21b | pūrvī́r utá práśastayaḥ
08.012.21c | víśvā vásūni dāśúṣe ví ānaśuḥ

08.012.22a | índraṁ vr̥trā́ya hántave
08.012.22b | devā́so dadhire puráḥ
08.012.22c | índraṁ vā́ṇīr anūṣatā sám ójase

08.012.23a | mahā́ntam mahinā́ vayáṁ
08.012.23b | stómebhir havanaśrútam
08.012.23c | arkaír abhí prá ṇonumaḥ sám ójase

08.012.24a | ná yáṁ viviktó ródasī
08.012.24b | nā́ntárikṣāṇi vajríṇam
08.012.24c | ámād íd asya titviṣe sám ójasaḥ

08.012.25a | yád indra pr̥tanā́jiye
08.012.25b | devā́s tvā dadhiré puráḥ
08.012.25c | ā́d ít te haryatā́ hárī vavakṣatuḥ

08.012.26a | yadā́ vr̥tráṁ nadīvŕ̥taṁ
08.012.26b | śávasā vajrin ávadhīḥ
08.012.26c | ā́d ít te haryatā́ hárī vavakṣatuḥ

08.012.27a | yadā́ te víṣṇur ójasā
08.012.27b | trī́ṇi padā́ vicakramé
08.012.27c | ā́d ít te haryatā́ hárī vavakṣatuḥ

08.012.28a | yadā́ te haryatā́ hárī
08.012.28b | vāvr̥dhā́te divé-dive
08.012.28c | ā́d ít te víśvā bhúvanāni yemire

08.012.29a | yadā́ te mā́rutīr víśas
08.012.29b | túbhyam indra niyemiré
08.012.29c | ā́d ít te víśvā bhúvanāni yemire

08.012.30a | yadā́ sū́ryam amúṁ diví
08.012.30b | śukráṁ jyótir ádhārayaḥ
08.012.30c | ā́d ít te víśvā bhúvanāni yemire

08.012.31a | imā́ṁ ta indra suṣṭutíṁ
08.012.31b | vípra iyarti dhītíbhiḥ
08.012.31c | jāmím padéva pípratīm prá adhvaré

08.012.32a | yád asya dhā́mani priyé
08.012.32b | samīcīnā́so ásvaran
08.012.32c | nā́bhā yajñásya dohánā prá adhvaré

08.012.33a | suvī́riyaṁ suaśviyaṁ
08.012.33b | sugávyam indra daddhi naḥ
08.012.33c | hóteva pūrvácittaye prá adhvaré

08.013.01a | índraḥ sutéṣu sómeṣu
08.013.01b | krátum punīta ukthíyam
08.013.01c | vidé vr̥dhásya dákṣaso mahā́n hí ṣáḥ

08.013.02a | sá prathamé víomani
08.013.02b | devā́nāṁ sádane vr̥dháḥ
08.013.02c | supāráḥ suśrávastamaḥ sám apsujít

08.013.03a | tám ahve vā́jasātaya
08.013.03b | índram bhárāya śuṣmíṇam
08.013.03c | bhávā naḥ sumné ántamaḥ sákhā vr̥dhé

08.013.04a | iyáṁ ta indra girvaṇo
08.013.04b | rātíḥ kṣarati sunvatáḥ
08.013.04c | mandānó asyá barhíṣo ví rājasi

08.013.05a | nūnáṁ tád indra daddhi no
08.013.05b | yát tvā sunvánta ī́mahe
08.013.05c | rayíṁ naś citrám ā́ bharā suvarvídam

08.013.06a | stotā́ yát te vícarṣaṇir
08.013.06b | atipraśardháyad gíraḥ
08.013.06c | vayā́ ivā́nu rohate juṣánta yát

08.013.07a | pratnaváj janayā gíraḥ
08.013.07b | śr̥ṇudhī́ jaritúr hávam
08.013.07c | máde-made vavakṣithā sukŕ̥tvane

08.013.08a | krī́ḷanti asya sūnŕ̥tā
08.013.08b | ā́po ná pravátā yatī́ḥ
08.013.08c | ayā́ dhiyā́ yá ucyáte pátir diváḥ

08.013.09a | utó pátir yá ucyáte
08.013.09b | kr̥ṣṭīnā́m éka íd vaśī́
08.013.09c | namovr̥dhaír avasyúbhiḥ suté raṇa

08.013.10a | stuhí śrutáṁ vipaścítaṁ
08.013.10b | hárī yásya prasakṣíṇā
08.013.10c | gántārā dāśúṣo gr̥háṁ namasvínaḥ

08.013.11a | tūtujānó mahemate
08.013.11b | áśvebhiḥ pruṣitápsubhiḥ
08.013.11c | ā́ yāhi yajñám āśúbhiḥ śám íd dhí te

08.013.12a | índra śaviṣṭha satpate
08.013.12b | rayíṁ gr̥ṇátsu dhāraya
08.013.12c | śrávaḥ sūríbhyo amŕ̥taṁ vasutvanám

08.013.13a | háve tvā sū́ra údite
08.013.13b | háve madhyáṁdine diváḥ
08.013.13c | juṣāṇá indra sáptibhir na ā́ gahi

08.013.14a | ā́ tū́ gahi prá tú drava
08.013.14b | mátsvā sutásya gómataḥ
08.013.14c | tántuṁ tanuṣva pūrviyáṁ yáthā vidé

08.013.15a | yác chakrā́si parāváti
08.013.15b | yád arvāváti vr̥trahan
08.013.15c | yád vā samudré ándhaso 'vitéd asi

08.013.16a | índraṁ vardhantu no gíra
08.013.16b | índraṁ sutā́sa índavaḥ
08.013.16c | índre havíṣmatīr víśo arāṇiṣuḥ

08.013.17a | tám íd víprā avasyávaḥ
08.013.17b | pravátvatībhir ūtíbhiḥ
08.013.17c | índraṁ kṣoṇī́r avardhayan vayā́ iva

08.013.18a | tríkadrukeṣu cétanaṁ
08.013.18b | devā́so yajñám atnata
08.013.18c | tám íd vardhantu no gíraḥ sadā́vr̥dham

08.013.19a | stotā́ yát te ánuvrata
08.013.19b | ukthā́ni r̥tuthā́ dadhé
08.013.19c | śúciḥ pavāká+ ucyate só ádbhutaḥ

08.013.20a | tád íd rudrásya cetati
08.013.20b | yahvám pratnéṣu dhā́masu
08.013.20c | máno yátrā ví tád dadhúr vícetasaḥ

08.013.21a | yádi me sakhyám āvára
08.013.21b | imásya pāhi ándhasaḥ
08.013.21c | yéna víśvā áti dvíṣo átārima

08.013.22a | kadā́ ta indra girvaṇa
08.013.22b | stotā́ bhavāti śáṁtamaḥ
08.013.22c | kadā́ no gávye áśviye vásau dadhaḥ

08.013.23a | utá te súṣṭutā hárī
08.013.23b | vŕ̥ṣaṇā vahato rátham
08.013.23c | ajuryásya madíntamaṁ yám ī́mahe

08.013.24a | tám īmahe puruṣṭutáṁ
08.013.24b | yahvám pratnā́bhir ūtíbhiḥ
08.013.24c | ní barhíṣi priyé sadad ádha dvitā́

08.013.25a | várdhasvā sú puruṣṭuta
08.013.25b | ŕ̥ṣiṣṭutābhir ūtíbhiḥ
08.013.25c | dhukṣásva pipyúṣīm íṣam ávā ca naḥ

08.013.26a | índra tvám avitéd asi
08.013.26b | itthā́ stuvató adrivaḥ
08.013.26c | r̥tā́d iyarmi te dhíyam manoyújam

08.013.27a | ihá tyā́ sadhamā́diyā
08.013.27b | yujānáḥ sómapītaye
08.013.27c | hárī indra pratádvasū abhí svara

08.013.28a | abhí svarantu yé táva
08.013.28b | rudrā́saḥ sakṣata śríyam
08.013.28c | utó marútvatīr víśo abhí práyaḥ

08.013.29a | imā́ asya prátūrtayaḥ
08.013.29b | padáṁ juṣanta yád diví
08.013.29c | nā́bhā yajñásya sáṁ dadhur yáthā vidé

08.013.30a | ayáṁ dīrghā́ya cákṣase
08.013.30b | prā́ci prayatí adhvaré
08.013.30c | mímīte yajñám ānuṣág vicákṣiya

08.013.31a | vŕ̥ṣāyám indra te rátha
08.013.31b | utó te vŕ̥ṣaṇā hárī
08.013.31c | vŕ̥ṣā tuváṁ śatakrato vŕ̥ṣā hávaḥ

08.013.32a | vŕ̥ṣā grā́vā vŕ̥ṣā mádo
08.013.32b | vŕ̥ṣā sómo ayáṁ sutáḥ
08.013.32c | vŕ̥ṣā yajñó yám ínvasi vŕ̥ṣā hávaḥ

08.013.33a | vŕ̥ṣā tvā vŕ̥ṣaṇaṁ huve
08.013.33b | vájriñ citrā́bhir ūtíbhiḥ
08.013.33c | vāvántha hí prátiṣṭutiṁ vŕ̥ṣā hávaḥ

08.014.01a | yád indrāháṁ yáthā tuvám
08.014.01b | ī́śīya vásva éka ít
08.014.01c | stotā́ me góṣakhā siyāt

08.014.02a | śíkṣeyam asmai dítseyaṁ
08.014.02b | śácīpate manīṣíṇe
08.014.02c | yád aháṁ gópatiḥ siyā́m

08.014.03a | dhenúṣ ṭa indra sūnŕ̥tā
08.014.03b | yájamānāya sunvaté
08.014.03c | gā́m áśvam pipyúṣī duhe

08.014.04a | ná te vartā́sti rā́dhasa
08.014.04b | índra devó ná mártiyaḥ
08.014.04c | yád dítsasi stutó maghám

08.014.05a | yajñá índram avardhayad
08.014.05b | yád bhū́miṁ ví ávartayat
08.014.05c | cakrāṇá opaśáṁ diví

08.014.06a | vāvr̥dhānásya te vayáṁ
08.014.06b | víśvā dhánāni jigyúṣaḥ
08.014.06c | ūtím indrā́ vr̥ṇīmahe

08.014.07a | ví antárikṣam atiran
08.014.07b | máde sómasya rocanā́
08.014.07c | índro yád ábhinad valám

08.014.08a | úd gā́ ājad áṅgirobhya
08.014.08b | āvíṣ kr̥ṇván gúhā satī́ḥ
08.014.08c | arvā́ñcaṁ nunude valám

08.014.09a | índreṇa rocanā́ divó
08.014.09b | dr̥r̥ḷhā́ni+ dr̥ṁhitā́ni ca
08.014.09c | sthirā́ṇi ná parāṇúde

08.014.10a | apā́m ūrmír mádann iva
08.014.10b | stóma indrājirāyate
08.014.10c | ví te mádā arājiṣuḥ

08.014.11a | tuváṁ hí stomavárdhana
08.014.11b | índrā́si ukthavárdhanaḥ
08.014.11c | stotr̥r̥ṇā́m utá bhadrakŕ̥t

08.014.12a | índram ít keśínā hárī
08.014.12b | somapéyāya vakṣataḥ
08.014.12c | úpa yajñáṁ surā́dhasam

08.014.13a | apā́m phénena námuceḥ
08.014.13b | śíra indród avartayaḥ
08.014.13c | víśvā yád ájaya spŕ̥dhaḥ

08.014.14a | māyā́bhir utsísr̥psata
08.014.14b | índra dyā́m ārúrukṣataḥ
08.014.14c | áva dásyūm̐r adhūnuthāḥ

08.014.15a | asunvā́m indra saṁsádaṁ
08.014.15b | víṣūcīṁ ví anāśayaḥ
08.014.15c | somapā́ úttaro bhávan

08.015.01a | tám u abhí prá gāyata
08.015.01b | puruhūtám puruṣṭutám
08.015.01c | índraṁ gīrbhís taviṣám ā́ vivāsata

08.015.02a | yásya dvibárhaso br̥hát
08.015.02b | sáho dādhā́ra ródasī
08.015.02c | girī́m̐r ájrām̐ apáḥ súvar vr̥ṣatvanā́

08.015.03a | sá rājasi puruṣṭutam̐
08.015.03b | éko vr̥trā́ṇi jighnase
08.015.03c | índra jaítrā śravasíyā ca yántave

08.015.04a | táṁ te mádaṁ gr̥ṇīmasi
08.015.04b | vŕ̥ṣaṇam pr̥tsú sāsahím
08.015.04c | ulokakr̥tnúm& adrivo hariśríyam

08.015.05a | yéna jyótīṁṣi āyáve
08.015.05b | mánave ca vivéditha
08.015.05c | mandānó asyá barhíṣo ví rājasi

08.015.06a | tád adyā́ cit ta ukthíno
08.015.06b | ánu ṣṭuvanti pūrváthā
08.015.06c | vŕ̥ṣapatnīr apó jayā divé-dive

08.015.07a | táva tyád indriyám br̥hát
08.015.07b | táva śúṣmam utá krátum
08.015.07c | vájraṁ śiśāti dhiṣáṇā váreṇiyam

08.015.08a | táva dyaúr indra paúṁsiyam
08.015.08b | pr̥thivī́ vardhati śrávaḥ
08.015.08c | tuvā́m ā́paḥ párvatāsaś ca hinvire

08.015.09a | tuvā́ṁ víṣṇur br̥hán kṣáyo
08.015.09b | mitró gr̥ṇāti váruṇaḥ
08.015.09c | tuvā́ṁ śárdho madati ánu mā́rutam

08.015.10a | tuváṁ vŕ̥ṣā jánānaam
08.015.10b | máṁhiṣṭha indra jajñiṣe
08.015.10c | satrā́ víśvā suapatyā́ni dadhiṣe

08.015.11a | satrā́ tuvám puruṣṭutam̐
08.015.11b | éko vr̥trā́ṇi tośase
08.015.11c | nā́nyá índrāt káraṇam bhū́ya invati

08.015.12a | yád indra manmaśás tuvā
08.015.12b | nā́nā hávanta ūtáye
08.015.12c | asmā́kebhir nŕ̥bhir átrā súvar jaya

08.015.13a | áraṁ kṣáyāya no mahé
08.015.13b | víśvā rūpā́ṇi āviśán
08.015.13c | índraṁ jaítrāya harṣayā śácīpátim

08.016.01a | prá samrā́jaṁ carṣaṇīnā́m
08.016.01b | índraṁ stotā návyaṁ gīrbhíḥ
08.016.01c | náraṁ nr̥ṣā́ham máṁhiṣṭham

08.016.02a | yásminn ukthā́ni ráṇyanti
08.016.02b | víśvāni ca śravasíyā
08.016.02c | apā́m ávo ná samudré

08.016.03a | táṁ suṣṭutiyā́ vivāse
08.016.03b | jyeṣṭharā́jam bháre kr̥tnúm
08.016.03c | mahó vājínaṁ saníbhyaḥ

08.016.04a | yásya ánūnā gabhīrā́
08.016.04b | mádā urávas tárutrāḥ
08.016.04c | harṣumántaḥ śū́rasātau

08.016.05a | tám íd dháneṣu hitéṣu
08.016.05b | adhivākā́ya havante
08.016.05c | yéṣām índras té jayanti

08.016.06a | tám íc cyautnaír ā́riyanti
08.016.06b | táṁ kr̥tébhiś carṣaṇáyaḥ
08.016.06c | eṣá índro varivaskŕ̥t

08.016.07a | índro brahmā́ índra ŕ̥ṣir
08.016.07b | índraḥ purū́ puruhūtáḥ
08.016.07c | mahā́n mahī́bhiḥ śácībhiḥ

08.016.08a | sá stómiyaḥ sá háviyaḥ
08.016.08b | satyáḥ sátvā tuvikūrmíḥ
08.016.08c | ékaś cit sánn abhíbhūtiḥ

08.016.09a | tám arkébhis táṁ sā́mabhis
08.016.09b | táṁ gāyatraíś carṣaṇáyaḥ
08.016.09c | índraṁ vardhanti kṣitáyaḥ

08.016.10a | praṇetā́raṁ vásyo áchā
08.016.10b | kártāraṁ jyótiḥ samátsu
08.016.10c | sāsahvā́ṁsaṁ yudhā́mítrān

08.016.11a | sá naḥ pápriḥ pārayāti
08.016.11b | svastí nāvā́ puruhūtáḥ
08.016.11c | índro víśvā áti dvíṣaḥ

08.016.12a | sá tváṁ na indra vā́jebhir
08.016.12b | daśasyā́ ca gātuyā́ ca
08.016.12c | áchā ca naḥ sumnáṁ neṣi

08.017.01a | ā́ yāhi suṣumā́ hí ta
