01.001.01a | agním īḷe-_ puróhitam

06.024.04a | śácīvataḥ te-_= puruśāka śā́kāḥ
06.024.04b | gávām iva= srutáyaḥ saṁcáraṇīḥ
06.024.04c | vatsā́nām ná+_= tantáyaḥ} te-_ indra
06.024.04d | dā́manvantaḥ= adāmā́naḥ} sudāman

06.024.05a | anyát adyá= kárvaram anyát u+_ śváḥ
06.024.05b | ásat ca sát= múhuḥ ācakríḥ índraḥ
06.024.05c | mitráḥ naḥ átra= váruṇaḥ} ca pūṣā́
06.024.05d | aryáḥ váśasya= paryetā́ asti

06.024.06a | ví tvát ā́paḥ ná+_= párvatasya pr̥ṣṭhā́t
06.024.06b | ukthébhiḥ indra= anayanta yajñaíḥ
06.024.06c | tám tvā ābhíḥ suṣṭutíbhiḥ vājáyantaḥ
06.024.06d | ājím ná+_ jagmuḥ girvāhaḥ áśvāḥ

06.024.07a | ná yám járanti= śarádaḥ} ná mā́sāḥ
06.024.07b | ná dyā́vaḥ índram= avakarśáyanti
06.024.07c | vr̥ddhásya cit= vardhatām asya tanū́ḥ
06.024.07d | stómebhiḥ ukthaíḥ ca śasyámānā

06.024.08a | ná vīḷáve?_= námate?_ ná} sthirā́ya
06.024.08b | ná śárdhate?_= dásyujūtāya stavā́n
06.024.08c | ájrāḥ índrasya= giráyaḥ} cit r̥ṣvā́ḥ
06.024.08d | gambhīré?_ cit= bhavati gādhám asmai

06.024.09a | gambhīréṇa naḥ= urúṇā} amatrin
06.024.09b | prá iṣáḥ yandhi= sutapāvan vā́jān
06.024.09c | sthā́ḥ ū+_+ sú ūrdhváḥ= ūtī́-_ áriṣaṇyan
06.024.09d | aktóḥ vyu\ṣṭau= páritakmyāyām

06.024.10a | sácasva nāyám= ávase-_} abhī́ke-_
06.024.10b | itáḥ vā tám= indra pāhi riṣáḥ
06.024.10c | amā́ ca enam= áraṇye?_ pāhi riṣáḥ
06.024.10d | mádema śatáhimāḥ suvī́rāḥ

06.025.01a | yā́ te-_ ūtíḥ= avamā́ yā́} paramā́
06.025.01b | yā́ madhyamā́= indra śuṣmin ásti
06.025.01c | tā́bhiḥ ū+_+ sú= vr̥trahátye-_} avīḥ naḥ
06.025.01d | ebhíḥ ca vā́jaiḥ mahā́n naḥ ugra

06.025.02a | ā́bhiḥ spŕ̥dhaḥ= mithatī́ḥ áriṣaṇyan
06.025.02b | amítrasya= vyathayā+ manyúm indra
06.025.02c | ā́bhiḥ víśvāḥ= abhiyújaḥ} víṣūcīḥ
06.025.02d | ā́ryāya víśaḥ= áva tārīḥ dā́sīḥ

06.025.03a | índra jāmáyaḥ= utá yé?_} ájāmayaḥ
06.025.03b | arvācīnā́saḥ= vanúṣaḥ} yuyujré?_
06.025.03c | tvám eṣām= vithurā́} śávāṁsi
06.025.03d | jahí vŕ̥ṣṇyāni= kr̥ṇuhī́?_+} párācaḥ

06.025.04a | śū́raḥ vā śū́ram= vanate-_} śárīraiḥ
06.025.04b | tanūrúcā= táruṣi yát} kr̥ṇvaíte?_
06.025.04c | toké?_ vā góṣu= tánaye?_} yát apsú
06.025.04d | ví krándasī+_= urvárāsu} brávaite?_

06.025.05a | nahí tvā śū́raḥ= ná turáḥ} ná dhr̥ṣṇúḥ
06.025.05b | ná tvā yodháḥ= mányamānaḥ} yuyódha
06.025.05c | índra nákiḥ tvā= práti asti eṣām
06.025.05d | víśvā jātā́ni= abhí asi tā́ni

06.025.06a | sá patyate-_= ubháyoḥ nr̥mṇám ayóḥ
06.025.06b | yádī-_+ vedhásaḥ= samithé-_} hávante-_
06.025.06c | vr̥tré?_ vā maháḥ= nr̥váti} kṣáye-_ vā
06.025.06d | vyácasvantā= yádi vitantasaíte?_

06.025.07a | ádha smā+ te-_= carṣaṇáyaḥ} yát éjān
06.025.07b | índra trātā́= utá bhavā+} varūtā́
06.025.07c | asmā́kāsaḥ= yé?_ nŕ̥tamāsaḥ aryáḥ
06.025.07d | índra sūráyaḥ= dadhiré-_} puráḥ naḥ

06.025.08a | ánu te-_ dāyi= mahé-_ indriyā́ya
06.025.08b | satrā́ te-_ víśvam= ánu vr̥trahátye-_
06.025.08c | ánu kṣatrám= ánu sáhaḥ} yajatra
06.025.08d | índra devébhiḥ= ánu te-_} nr̥ṣáhye?_

06.025.09a | evā́+ naḥ spŕ̥dhaḥ= sám ajā+} samátsu
06.025.09b | índra rārandhí= mithatī́ḥ} ádevīḥ
06.025.09c | vidyā́ma vástoḥ= ávasā} gr̥ṇántaḥ
06.025.09d | bharádvājāḥ= utá te-_ indra nūnám

06.026.01a | śrudhī́-_+ naḥ indra hváyāmasi tvā
06.026.01b | maháḥ vā́jasya= sātaú vāvr̥ṣāṇā́ḥ
06.026.01c | sám yát víśaḥ= áyanta śū́rasātau
06.026.01d | ugrám naḥ ávaḥ= pā́rye-_} áhan dāḥ

06.026.02a | tvā́m vājī́?_= havate-_ vājineyáḥ
06.026.02b | maháḥ vā́jasya= gádhyasya sātaú
06.026.02c | tvā́m vr̥tréṣu indra= sátpatim} tárutram
06.026.02d | tvā́m caṣṭe-_= muṣṭihā́ góṣu yúdhyan

06.026.03a | tvám kavím= codayaḥ arkásātau
06.026.03b | tvám kútsāya= śúṣṇam dāśúṣe-_ vark
06.026.03c | tvám śíraḥ= amarmáṇaḥ} párā ahan
06.026.03d | atithigvā́ya= śáṁsyam} kariṣyán

06.026.04a | tvám rátham= prá bharaḥ yodhám r̥ṣvám
06.026.04b | ā́vaḥ yúdhyantam= vr̥ṣabhám} dáśadyum
06.026.04c | tvám túgram= vetasáve?_} sácā ahan
06.026.04d | tvám tújim= gr̥ṇántam indra tūtoḥ

06.026.05a | tvám tát ukthám= indra barháṇā kar
06.026.05b | prá yát śatā́= sahásrā śūra dárṣi
06.026.05c | áva giréḥ= dā́sam śámbaram han
06.026.05d | prá āvaḥ dívodāsam citrā́bhiḥ ūtī́-_

06.026.06a | tvám śraddhā́bhiḥ= mandasānáḥ sómaiḥ
06.026.06b | dabhī́taye-_= cúmurim indra siṣvap
06.026.06c | tvám rajím= píṭhīnase?_} daśasyán
06.026.06d | ṣaṣṭím sahásrā= śácyā} sácā ahan

06.026.07a | ahám caná= tát sūríbhiḥ} ānaśyām
06.026.07b | táva jyā́yaḥ= indra sumnám ójaḥ
06.026.07c | tváyā yát stávante?_ sadhavīra vīrā́ḥ
06.026.07d | trivárūthena= náhuṣā} śaviṣṭha

06.026.08a | vayám te-_ asyā́m= indra dyumnáhūtau
06.026.08b | sákhāyaḥ syāma= mahina} préṣṭhāḥ
06.026.08c | prā́tardaniḥ= kṣatraśrī́ḥ astu śréṣṭhaḥ
06.026.08d | ghané?_ vr̥trā́ṇām= sanáye-_} dhánānām

06.027.01a | kím asya máde-_= kím u+_ asya pītaú
06.027.01b | índraḥ kím asya= sakhyé-_} cakāra
06.027.01c | ráṇāḥ vā yé?_= niṣádi kím} té?_ asya
06.027.01d | purā́ vividre?_= kím u+_ nū́tanāsaḥ

06.027.02a | sát asya máde-_= sát u+_ asya pītaú
06.027.02b | índraḥ sát asya= sakhyé-_} cakāra
06.027.02c | ráṇāḥ vā yé?_= niṣádi sát} té?_ asya
06.027.02d | purā́ vividre?_= sát u+_ nū́tanāsaḥ

06.027.03a | nahí nú te-_= mahimánaḥ} samasya
06.027.03b | ná maghavan= maghavattvásya vidmá
06.027.03c | ná rā́dhaso-=rādhasaḥ nū́tanasya
06.027.03d | índra nákiḥ= dadr̥śe-_ indriyám te-_

06.027.04a | etát tyát te-_= indriyám} aceti
06.027.04b | yéna ávadhīḥ= varáśikhasya śéṣaḥ
06.027.04c | vájrasya yát te-_= níhatasya śúṣmāt
06.027.04d | svanā́t cit indra= paramáḥ} dadā́ra

06.027.05a | vádhīt índraḥ= varáśikhasya śéṣaḥ
06.027.05b | abhyāvartíne?_= cāyamānā́ya śíkṣan
06.027.05c | vr̥cī́vataḥ= yát hariyūpī́yāyām
06.027.05d | hán pū́rve-_ árdhe?_= bhiyásā áparaḥ dárt

06.027.06a | triṁśácchatam= varmíṇaḥ indra sākám
06.027.06b | yavyā́vatyām= puruhūta} śravasyā́
06.027.06c | vr̥cī́vantaḥ= śárave?_ pátyamānāḥ
06.027.06d | pā́trā bhindānā́ḥ= nyarthā́ni āyan

06.027.07a | yásya gā́vau= aruṣā́ sūyavasyū́+_
06.027.07b | antár ū+_+ sú= cárataḥ rérihāṇā
06.027.07c | sá sŕ̥ñjayāya= turváśam} párā adāt
06.027.07d | vr̥cī́vataḥ= daivavātā́ya śíkṣan

06.027.08a | dvayā́n agne-_= rathínaḥ viṁśatím gā́ḥ
06.027.08b | vadhū́mataḥ= maghávā máhyam samrā́ṭ
06.027.08c | abhyāvartī́?_= cāyamānáḥ} dadāti
06.027.08d | dūṇā́śā iyám= dákṣiṇā pārthavā́nām

06.028.01a | ā́ gā́vaḥ agman= utá bhadrám akran
06.028.01b | sī́dantu goṣṭhé?_= raṇáyantu asmé?_
06.028.01c | prajā́vatīḥ= pururū́pāḥ} ihá syuḥ
06.028.01d | índrāya pūrvī́ḥ= uṣásaḥ} dúhānāḥ

06.028.02a | índraḥ yájvane?_= pr̥ṇaté?_} ca śikṣati
06.028.02b | úpa ít dadāti= ná svám} muṣāyati
06.028.02c | bhū́yo-bhūyaḥ= rayím ít asya vardháyan
06.028.02d | ábhinne?_ khilyé?_= ní dadhāti devayúm

06.028.03a | ná tā́ḥ naśanti= ná dabhāti táskaraḥ
06.028.03b | ná āsām āmitráḥ= vyáthiḥ ā́} dadharṣati
06.028.03c | devā́n ca yā́bhiḥ= yájate-_} dádāti ca
06.028.03d | jyók ít tā́bhiḥ= sacate-_ gópatiḥ sahá

06.028.04a | ná tā́ḥ árvā= reṇúkakāṭaḥ aśnute?_
06.028.04b | ná saṁskr̥tatrám= úpa yanti tā́ḥ abhí
06.028.04c | urugāyám= ábhayam tásya tā́ḥ ánu
06.028.04d | gā́vaḥ mártasya= ví caranti yájvanaḥ

06.028.05a | gā́vaḥ bhágaḥ= gā́vaḥ índraḥ} me-_ acchān
06.028.05b | gā́vaḥ sómasya= prathamásya bhakṣáḥ
06.028.05c | imā́ḥ yā́ḥ gā́vaḥ= sá janāsaḥ índraḥ
06.028.05d | icchā́mi ít hr̥dā́= mánasā} cit índram

06.028.06a | yūyám gāvaḥ= medayathā+} kr̥śám cit
06.028.06b | aśrīrám cit= kr̥ṇuthā+ suprátīkam
06.028.06c | bhadrám gr̥hám= kr̥ṇutha bhadravācaḥ
06.028.06d | br̥hát vaḥ váyaḥ= ucyate-_} sabhā́su

06.028.07a | prajā́vatīḥ= sūyávasam} riśántīḥ
06.028.07b | śuddhā́ḥ apáḥ= suprapāṇé?_} píbantīḥ
06.028.07c | mā́ vaḥ stenáḥ īśata= mā́ agháśaṁsaḥ
06.028.07d | pári vaḥ hetíḥ= rudrásya vr̥jyāḥ

06.028.08a | úpa idám upapárcanam
06.028.08b | āsú góṣu úpa pr̥cyatām
06.028.08c | úpa r̥ṣabhásya rétasi
06.028.08d | úpa indra táva vīrye\?_

06.029.01a | índram vaḥ náraḥ= sakhyā́ya sepuḥ
06.029.01b | maháḥ yántaḥ= sumatáye?_} cakānā́ḥ
06.029.01c | maháḥ hí dātā́= vájrahastaḥ ásti
06.029.01d | mahā́m u+_ raṇvám= ávase-_} yajadhvam

06.029.02a | ā́ yásmin háste-_= náryā!} mimikṣúḥ
06.029.02b | ā́ ráthe-_ hiraṇyáye?_ ratheṣṭhā́ḥ
06.029.02c | ā́ raśmáyaḥ= gábhastyoḥ} sthūráyoḥ
06.029.02d | ā́ ádhvan áśvāsaḥ= vŕ̥ṣaṇaḥ} yujānā́ḥ

06.029.03a | śriyé-_ te-_ pā́dā= dúvaḥ ā́} mimikṣuḥ
06.029.03b | dhr̥ṣṇúḥ vajrī́-_= śávasā dákṣiṇāvān
06.029.03c | vásānaḥ átkam= surabhím} dr̥śé-_ kám
06.029.03d | sva\r ná+_ nr̥to= iṣiráḥ} babhūtha

06.029.04a | sá sómaḥ ā́miślatamaḥ} sutáḥ bhūt
06.029.04b | yásmin paktíḥ= pacyáte?_ sánti dhānā́ḥ
06.029.04c | índram náraḥ= stuvántaḥ brahmakārā́ḥ
06.029.04d | ukthā́ śáṁsantaḥ= devávātatamāḥ

06.029.05a | ná te-_ ántaḥ= śávasaḥ dhāyi asyá
06.029.05b | ví tú bābadhe?_= ródasī+_} mahitvā́
06.029.05c | ā́ tā́ sūríḥ= pr̥ṇati tū́tujānaḥ
06.029.05d | yūthā́ iva apsú= samī́jamānaḥ ūtī́-_

06.029.06a | evá ít índraḥ= suhávaḥ r̥ṣváḥ astu
06.029.06b | ūtī́-_ ánūtī?_= hiriśipráḥ sátvā
06.029.06c | evā́+ hí jātáḥ= ásamātyojāḥ
06.029.06d | purū́-_+ ca vr̥trā́= hanati} ní dásyūn

06.030.01a | bhū́yaḥ ít vāvr̥dhe-_ vīryā\ya
06.030.01b | ékaḥ ajuryáḥ= dayate-_} vásūni
06.030.01c | prá ririce-_= diváḥ índraḥ} pr̥thivyā́ḥ
06.030.01d | ardhám ít asya= práti ródasī+_ ubhé+_

06.030.02a | ádhā+ manye-_= br̥hát asurya\m asya
06.030.02b | yā́ni dādhā́ra= nákiḥ ā́} mināti
06.030.02c | divé-dive-_= sū́ryaḥ darśatáḥ bhūt
06.030.02d | ví sádmāni= urviyā́ sukrátuḥ dhāt

06.030.03a | adyā́+ cit nū́-_+ cit= tát ápaḥ} nadī́nām
06.030.03b | yát ābhyaḥ= áradaḥ gātúm indra
06.030.03c | ní párvatāḥ= admasádaḥ} ná+_ seduḥ
06.030.03d | tváyā dr̥ḷhā́ni= sukrato} rájāṁsi

06.030.04a | satyám ít tát= ná tvā́vān anyáḥ asti
06.030.04b | índra deváḥ= ná mártyaḥ} jyā́yān
06.030.04c | áhan áhim= pariśáyānam árṇaḥ
06.030.04d | áva asr̥jaḥ= apáḥ ácchā+} samudrám

06.030.05a | tvám apáḥ ví dúraḥ víṣūcīḥ
06.030.05b | índra dr̥ḷhám= arujaḥ párvatasya
06.030.05c | rā́jā abhavaḥ= jágataḥ carṣaṇīnā́m
06.030.05d | sākám sū́ryam= janáyan dyā́m} uṣā́sam

06.031.01a | ábhūḥ ékaḥ= rayipate?_} rayīṇā́m
06.031.01b | ā́ hástayoḥ= adhithāḥ indra kr̥ṣṭī́ḥ
06.031.01c | ví toké?_ apsú= tánaye?_} ca sū́re-_
06.031.01d | ávocanta= carṣaṇáyaḥ} vívācaḥ

06.031.02a | tvát bhiyā́ indra= pā́rthivāni víśvā
06.031.02b | ácyutā cit= cyāvayante?_} rájāṁsi
06.031.02c | dyā́vākṣā́mā= párvatāsaḥ} vánāni
06.031.02d | víśvam dr̥ḷhám= bhayate-_ ájman ā́ te-_

06.031.03a | tvám kútsena= abhí śúṣṇam indra
06.031.03b | aśúṣam yudhya= kúyavam} gáviṣṭau
06.031.03c | dáśa prapitvé-_= ádha sū́ryasya
06.031.03d | muṣāyáḥ cakrám= áviveḥ} ápāṁsi!

06.031.04a | tvám śatā́ni= áva śámbarasya
06.031.04b | púraḥ jaghantha= apratī́ni dásyoḥ
06.031.04c | áśikṣaḥ yátra= śácyā} śacīvaḥ
06.031.04d | dívodāsāya= sunvaté-_} sutakre?_
06.031.04e | bharádvājāya= gr̥ṇaté-_} vásūni

06.031.05a | sá satyasatvan= mahaté-_} ráṇāya
06.031.05b | rátham ā́ tiṣṭha= tuvinr̥mṇa bhīmám
06.031.05c | yāhí prapathin= ávasā úpa madrík
06.031.05d | prá ca śruta= śrāvaya carṣaṇíbhyaḥ

06.032.01a | ápūrvyā= purutámāni asmai
06.032.01b | mahé-_ vīrā́ya= taváse-_} turā́ya
06.032.01c | virapśíne?_= vajríṇe-_ śáṁtamāni
06.032.01d | vácāṁsi āsā́= sthávirāya takṣam

06.032.02a | sá mātárā= sū́ryeṇā+} kavīnā́m
06.032.02b | ávāsayat= ruját ádrim} gr̥ṇānáḥ
06.032.02c | svādhī́bhiḥ= ŕ̥kvabhiḥ vāvaśānáḥ
06.032.02d | út usríyāṇām= asr̥jat} nidā́nam

06.032.03a | sá váhnibhiḥ= ŕ̥kvabhiḥ góṣu śáśvat
06.032.03b | mitájñubhiḥ= purukŕ̥tvā} jigāya
06.032.03c | púraḥ purohā́= sákhibhiḥ} sakhīyán
06.032.03d | dr̥ḷhā́ḥ ruroja= kavíbhiḥ} kavíḥ sán

06.032.04a | sá nīvyā\bhiḥ= jaritā́ram ácchā+
06.032.04b | maháḥ vā́jebhiḥ= mahádbhiḥ} ca śúṣmaiḥ
06.032.04c | puruvī́rābhiḥ= vr̥ṣabha} kṣitīnā́m
06.032.04d | ā́ girvaṇaḥ= suvitā́ya} prá yāhi

06.032.05a | sá sárgeṇa= śávasā taktáḥ átyaiḥ
06.032.05b | apáḥ índraḥ= dakṣiṇatáḥ} turāṣā́ṭ
06.032.05c | itthā́ sr̥jānā́ḥ= ánapāvr̥t ártham
06.032.05d | divé-dive-_= viviṣuḥ apramr̥ṣyám

06.033.01a | yáḥ ójiṣṭhaḥ= indra tám} sú naḥ dāḥ
06.033.01b | mádaḥ vr̥ṣan= svabhiṣṭíḥ} dā́svān
06.033.01c | saúvaśvyam= yáḥ vanávat} sváśvaḥ
06.033.01d | vr̥trā́ samátsu= sāsáhat} amítrān

06.033.02a | tvā́m hí indra= ávase-_} vívācaḥ
06.033.02b | hávante-_ carṣaṇáyaḥ śū́rasātau
06.033.02c | tvám víprebhiḥ= ví paṇī́n} aśāyaḥ
06.033.02d | tvótaḥ ít= sánitā vā́jam árvā

06.033.03a | tvám tā́n indra= ubháyān} amítrān
06.033.03b | dā́sā vr̥trā́ṇi= ā́ryā} ca śūra
06.033.03c | vádhīḥ vánā iva= súdhitebhiḥ átkaiḥ
06.033.03d | ā́ pr̥tsú darṣi= nr̥ṇā́m} nr̥tama

06.033.04a | sá tvám naḥ indra= ákavābhiḥ ūtī́-_
06.033.04b | sákhā viśvā́yuḥ= avitā́} vr̥dhé-_ bhūḥ
06.033.04c | sva\rṣātā yát hváyāmasi tvā
06.033.04d | yúdhyantaḥ nemádhitā pr̥tsú śūra

06.033.05a | nūnám naḥ indra= aparā́ya ca syāḥ
06.033.05b | bhávā+ mr̥ḷīkáḥ= utá naḥ} abhíṣṭau
06.033.05c | itthā́ gr̥ṇántaḥ= mahínasya śárman
06.033.05d | diví syāma= pā́rye-_ goṣátamāḥ

06.034.01a | sám ca tvé+_ jagmúḥ= gíraḥ indra pūrvī́ḥ
06.034.01b | ví ca tvát yanti= vibhva\ḥ} manīṣā́ḥ
06.034.01c | purā́ nūnám ca= stutáyaḥ} ŕ̥ṣīṇām
06.034.01d | paspr̥dhré?_ índre-_= ádhi ukthārkā́

06.034.02a | puruhūtáḥ= yáḥ purugūrtáḥ ŕ̥bhvā
06.034.02b | ékaḥ purupraśastáḥ ásti yajñaíḥ
06.034.02c | ráthaḥ ná+_ mahé-_= śávase-_} yujānáḥ
06.034.02d | asmā́bhiḥ índraḥ= anumā́dyaḥ bhūt

06.034.03a | ná yám híṁsanti= dhītáyaḥ} ná vā́ṇīḥ
06.034.03b | índram nákṣanti ít= abhí vardháyantīḥ
06.034.03c | yádi stotā́raḥ= śatám yát} sahásram
06.034.03d | gr̥ṇánti gírvaṇasam śám} tát asmai

06.034.04a | ásmai etát= diví arcā́ iva māsā́
06.034.04b | mimikṣáḥ índre-_= ní ayāmi sómaḥ
06.034.04c | jánam ná+_ dhánvan= abhí sám} yát ā́paḥ
06.034.04d | satrā́ vāvr̥dhuḥ= hávanāni yajñaíḥ

06.034.05a | ásmai etát= máhi āṅgūṣám asmai
06.034.05b | índrāya stotrám= matíbhiḥ} avāci
06.034.05c | ásat yáthā= mahatí vr̥tratū́rye-_
06.034.05d | índraḥ viśvā́yuḥ= avitā́} vr̥dháḥ ca

06.035.01a | kadā́ bhuvan= ráthakṣayāṇi bráhma
06.035.01b | kadā́ stotré-_= sahasrapoṣya\m dāḥ
06.035.01c | kadā́ stómam= vāsayaḥ asya rāyā́
06.035.01d | kadā́ dhíyaḥ= karasi vā́jaratnāḥ

06.035.02a | kárhi svit tát= indra yát} nŕ̥bhiḥ nr̥ŕ̥n
06.035.02b | vīraíḥ vīrā́n= nīḷáyāse?_} jáya ājī́n
06.035.02c | tridhā́tu gā́ḥ= ádhi jayāsi góṣu
06.035.02d | índra dyumnám= sva\rvat dhehi asmé?_

06.035.03a | kárhi svit tát= indra yát} jaritré-_
06.035.03b | viśvápsu bráhma= kr̥ṇávaḥ} śaviṣṭha
06.035.03c | kadā́ dhíyaḥ ná+_= niyútaḥ} yuvāse?_
06.035.03d | kadā́ gómaghā= hávanāni gacchāḥ

06.035.04a | sá gómaghāḥ= jaritré-_ áśvaścandrāḥ
06.035.04b | vā́jaśravasaḥ= ádhi dhehi pŕ̥kṣaḥ
06.035.04c | pīpihí íṣaḥ= sudúghām indra dhenúm
06.035.04d | bharádvājeṣu= surúcaḥ} rurucyāḥ

06.035.05a | tám ā́ nūnám= vr̥jánam anyáthā cit
06.035.05b | śū́raḥ yát śakra= ví dúraḥ} gr̥ṇīṣé?_
06.035.05c | mā́ níḥ aram= śukradúghasya dhenóḥ
06.035.05d | āṅgirasā́n= bráhmaṇā vipra jinva

06.036.01a | satrā́ mádāsaḥ= táva viśvájanyāḥ
06.036.01b | satrā́ rā́yaḥ= ádha yé?_ pā́rthivāsaḥ
06.036.01c | satrā́ vā́jānām= abhavaḥ} vibhaktā́
06.036.01d | yát devéṣu= dhāráyathāḥ} asurya\m

06.036.02a | ánu prá yeje?_= jánaḥ ójaḥ asya
06.036.02b | satrā́ dadhire-_= ánu vīryā\ya
06.036.02c | syūmagŕ̥bhe?_= dúdhaye?_ árvate-_ ca
06.036.02d | krátum vr̥ñjanti= ápi vr̥trahátye-_

06.036.03a | tám sadhrī́cīḥ= ūtáyaḥ vŕ̥ṣṇyāni
06.036.03b | paúṁsyāni= niyútaḥ saścuḥ índram
06.036.03c | samudrám ná+_= síndhavaḥ uktháśuṣmāḥ
06.036.03d | uruvyácasam= gíraḥ ā́} viśanti

06.036.04a | sá rāyáḥ khā́m= úpa sr̥jā+} gr̥ṇānáḥ
06.036.04b | puruścandrásya= tvám indra vásvaḥ
06.036.04c | pátiḥ babhūtha= ásamaḥ} jánānām
06.036.04d | ékaḥ víśvasya= bhúvanasya rā́jā

06.036.05a | sá tú śrudhi= śrútyā yáḥ} duvoyúḥ
06.036.05b | dyaúḥ ná+_ bhū́ma= abhí rā́yaḥ aryáḥ
06.036.05c | ásaḥ yáthā naḥ= śávasā} cakānáḥ
06.036.05d | yugé-yuge-_= váyasā cékitānaḥ

06.037.01a | arvā́k rátham= viśvávāram} te-_ ugra
06.037.01b | índra yuktā́saḥ= hárayaḥ} vahantu
06.037.01c | kīríḥ cit hí tvā= hávate?_} sva\rvān
06.037.01d | r̥dhīmáhi= sadhamā́daḥ} te-_ adyá

06.037.02a | prá u+_ dróṇe?_= hárayaḥ kárma agman
06.037.02b | punānā́saḥ= ŕ̥jyantaḥ} abhūvan
06.037.02c | índraḥ naḥ asyá= pūrvyáḥ} papīyāt
06.037.02d | dyukṣáḥ mádasya= somyásya rā́jā

06.037.03a | āsasrāṇā́saḥ= śavasānám áccha
06.037.03b | índram sucakré?_= rathyā\saḥ áśvāḥ
06.037.03c | abhí śrávaḥ= ŕ̥jyantaḥ} vaheyuḥ
06.037.03d | nū́-_+ cit nú vāyóḥ= amŕ̥tam} ví dasyet

06.037.04a | váriṣṭhaḥ asya= dákṣiṇām} iyarti
06.037.04b | índraḥ maghónām= tuvikūrmítamaḥ
06.037.04c | yáyā vajrivaḥ= pariyā́si áṁhaḥ
06.037.04d | maghā́ ca dhr̥ṣṇo= dáyase?_} ví sūrī́n

06.037.05a | índraḥ vā́jasya= sthávirasya dātā́
06.037.05b | índraḥ gīrbhíḥ= vardhatām vr̥ddhámahāḥ
06.037.05c | índraḥ vr̥trám= hániṣṭhaḥ astu sátvā
06.037.05d | ā́ tā́ sūríḥ= pr̥ṇati tū́tujānaḥ

06.038.01a | ápāt itáḥ= út u+_ naḥ citrátamaḥ
06.038.01b | mahī́m bharṣat= dyumátīm índrahūtim
06.038.01c | pányasīm dhītím= daívyasya yā́man
06.038.01d | jánasya rātím= vanate-_} sudā́nuḥ

06.038.02a | dūrā́t cit ā́= vasataḥ asya kárṇā
06.038.02b | ghóṣāt índrasya= tanyati} bruvāṇáḥ
06.038.02c | ā́ iyám enam= deváhūtiḥ} vavr̥tyāt
06.038.02d | madrya\k índram= iyám r̥cyámānā

06.038.03a | tám vaḥ dhiyā́= paramáyā} purājā́m
06.038.03b | ajáram índram= abhí anūṣi arkaíḥ
06.038.03c | bráhmā+ ca gíraḥ= dadhiré-_} sám asmin
06.038.03d | mahā́n ca stómaḥ= ádhi vardhat índre-_

06.038.04a | várdhāt yám yajñáḥ= utá sómaḥ índram
06.038.04b | várdhāt bráhma= gíraḥ ukthā́} ca mánma
06.038.04c | várdha áha enam= uṣásaḥ yā́man aktóḥ
06.038.04d | várdhān mā́sāḥ= śarádaḥ dyā́vaḥ índram

06.038.05a | evā́+ jajñānám= sáhase-_} ásāmi
06.038.05b | vāvr̥dhānám= rā́dhase-_ ca} śrutā́ya
06.038.05c | mahā́m ugrám= ávase-_ vipra nūnám
06.038.05d | ā́ vivāsema= vr̥tratū́ryeṣu

06.039.01a | mandrásya kavéḥ= divyásya váhneḥ
06.039.01b | vípramanmanaḥ= vacanásya mádhvaḥ
06.039.01c | ápāḥ naḥ tásya= sacanásya deva
06.039.01d | íṣaḥ yuvasva= gr̥ṇaté-_} góagrāḥ

06.039.02a | ayám uśānáḥ= pári ádrim usrā́ḥ
06.039.02b | r̥tádhītibhiḥ= r̥tayúk} yujānáḥ
06.039.02c | ruját árugṇam= ví valásya sā́num
06.039.02d | paṇī́n vácobhiḥ= abhí yodhat índraḥ

06.039.03a | ayám dyotayat= adyútaḥ} ví aktū́n
06.039.03b | doṣā́ vástoḥ= śarádaḥ índuḥ indra
06.039.03c | imám ketúm= adadhuḥ nū́-_+} cit áhnām
06.039.03d | śúcijanmanaḥ= uṣásaḥ} cakāra

06.039.04a | ayám rocayat= arúcaḥ} rucānáḥ
06.039.04b | ayám vāsayat= ví r̥téna pūrvī́ḥ
06.039.04c | ayám īyate-_= r̥tayúgbhiḥ áśvaiḥ
06.039.04d | svarvídā= nā́bhinā carṣaṇiprā́ḥ

06.039.05a | nū́-_+ gr̥ṇānáḥ= gr̥ṇaté-_ pratna rājan
06.039.05b | íṣaḥ pinva= vasudéyāya pūrvī́ḥ
06.039.05c | apáḥ óṣadhīḥ= aviṣā́} vánāni
06.039.05d | gā́ḥ árvataḥ nr̥ŕ̥n= r̥cáse?_} rirīhi

06.040.01a | índra píba= túbhyam sutáḥ} mádāya
06.040.01b | áva sya hárī+_= ví mucā+} sákhāyā
06.040.01c | utá prá gāya= gaṇé?_ ā́} niṣádya
06.040.01d | áthā+ yajñā́ya= gr̥ṇaté-_} váyaḥ dhāḥ

06.040.02a | ásya piba= yásya jajñānáḥ indra
06.040.02b | mádāya krátve-_= ápibaḥ} virapśin
06.040.02c | tám u+_ te-_ gā́vaḥ= náraḥ ā́paḥ ádriḥ
06.040.02d | índum sám ahyan= pītáye-_} sám asmai

06.040.03a | sámiddhe-_ agnaú= suté-_ indra sóme-_
06.040.03b | ā́ tvā vahantu= hárayaḥ} váhiṣṭhāḥ
06.040.03c | tvāyatā́= mánasā johavīmi
06.040.03d | índra ā́ yāhi= suvitā́ya} mahé-_ naḥ

